Genre,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Action,0.34,14.84,6.5200000000000005,2.86,1.85,3.52,13.74,1.12,1.75,4.64,6.390000000000001,6.76,3.83,1.81,1.5499999999999998,3.57,20.58,27.580000000000002,39.44,27.78,34.04,59.39,86.77,67.92999999999999,76.26,85.69,66.58,106.5,136.39,139.36,117.64,118.96,122.04,125.22,99.02,70.7,19.91,0.01,0.0
Adventure,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.38,0.0,0.0,0.0,2.24,12.24,0.07,3.74,0.72,4.19,4.96,9.05,7.6,2.98,9.12,11.05,2.14,8.7,8.53,11.47,24.47,25.02,20.68,16.57,15.98,5.99,6.61,6.0600000000000005,8.03,1.81,0.0,0.0
Fighting,0.77,0.0,0.0,0.0,0.0,1.05,0.0,5.42,0.0,0.0,0.0,0.39,15.25,8.75,8.47,14.85,18.06,11.76,31.66,14.26,20.22,18.12,25.02,23.73,16.78,19.72,22.55,17.61,35.38,32.15,14.89,22.68,9.51,7.21,16.15,7.78,3.8600000000000003,0.0,0.0
Misc,2.71,0.0,0.87,2.14,1.45,0.0,0.0,0.0,0.0,1.28,0.0,0.08,4.9399999999999995,0.3,2.8600000000000003,6.3999999999999995,10.68,5.69,11.94,20.65,15.540000000000001,16.4,15.67,23.82,31.32,61.24,67.35,92.27,87.03,76.94,96.86,56.08,22.92,25.65,23.68,11.69,1.17,0.0,0.0
Platform,0.0,6.93,5.03,6.93,0.69,43.17,9.39,1.7400000000000002,27.73,20.66,22.97,7.64,13.42,18.67,28.740000000000002,16.69,28.23,21.85,29.88,20.82,16.06,39.28,45.97,42.89,47.34,23.56,49.800000000000004,35.589999999999996,35.7,41.09,31.900000000000002,28.11,18.55,25.12,8.89,6.05,2.07,0.0,0.0
Puzzle,0.0,2.2399999999999998,10.03,0.78,3.14,3.21,0.0,0.0,5.58,37.75,6.0,3.24,4.84,3.17,1.53,2.71,3.9099999999999997,5.89,6.34,1.3599999999999999,3.82,8.0,5.34,2.42,8.43,20.45,10.9,24.0,15.59,20.31,11.18,5.11,1.76,0.99,1.5,0.7000000000000001,0.0,0.0,0.0
Racing,0.0,0.48,1.5699999999999998,0.0,5.95,0.0,1.96,0.0,2.14,0.0,6.26,1.14,9.04,0.36,2.19,6.09,28.24,31.91,27.900000000000002,37.27,19.99,55.81,30.2,52.19,47.86,56.42,34.089999999999996,39.17,70.66,34.19,34.93,35.01,14.46,13.040000000000001,16.69,7.92,1.6400000000000001,0.0,0.0
Role-Playing,0.0,0.0,0.0,0.0,0.0,0.0,2.52,4.65,5.88,2.2,4.52,3.25,6.86,5.59,7.11,14.26,43.96,21.79,28.09,49.09,29.03,22.060000000000002,45.13,30.28,53.95,28.55,57.73,43.89,59.83,47.9,70.52,53.37,47.81,44.92,45.86,36.44,6.76,0.04,0.0
Shooter,7.069999999999999,10.040000000000001,3.79,0.48,31.099999999999998,1.0,3.89,0.71,0.51,1.2,0.0,2.0,0.29000000000000004,3.08,8.3,4.15,6.91,22.17,9.799999999999999,12.25,6.81,24.77,48.58,27.14,46.95,41.6,38.37,71.04,59.51,69.89,77.41,99.36,72.86,62.8,66.0,66.15,18.22,0.0,0.0
Simulation,0.0,0.45,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,1.14,2.14,2.14,0.19,2.73,4.18,11.33,9.65,7.11,11.44,3.38,19.54,10.809999999999999,21.21,10.85,49.27,21.77,48.97,46.76,33.71,22.15,15.28,13.379999999999999,8.67,5.55,5.62,0.39,0.0,0.29
Sports,0.49,0.79,1.05,3.2,6.18,1.96,5.57,3.7199999999999998,3.5999999999999996,5.720000000000001,2.11,2.41,2.9499999999999997,3.18,8.39,7.9799999999999995,17.45,30.02,41.79,30.29,41.19,51.43,65.42,56.11,63.68,59.54,136.16,98.2,95.34,138.52,92.53,56.99,30.93,41.55,46.66,41.54,14.6,0.0,0.0
Strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.36,0.81,3.56,6.51,5.61,7.71,13.47,18.46,8.5,7.55,5.56,7.99,7.19,5.37,4.2700000000000005,9.42,11.69,12.56,13.870000000000001,9.06,3.33,6.33,0.99,1.82,0.5,0.0,0.0
